close,sentiment,Percent Change,Category
6252.59,0.289826776,0.001239421,1
6244.85,0.256925515,0.001682611,1
6234.36,0.254072781,-0.00264921,-1
6250.92,0.239446961,-0.000428553,-1
6253.6,0.224823795,0.015583893,1
6157.64,0.224938244,-0.002816181,-1
6175.03,0.273612169,-0.001494113,-1
6184.27,0.25756844,0.000190843,1
6183.09,0.234230668,0.000906517,1
6177.49,0.248144879,-0.002035512,-1
6190.09,0.239935056,-0.000116301,-1
6190.81,0.211170289,0.003541926,1
6168.96,0.218126864,-0.002959302,-1
6187.27,0.2172058,-0.000631544,-1
6191.18,0.266823998,0.000276276,1
6189.47,0.266612064,0.002487808,1
6174.11,0.261740994,-0.001273055,-1
6181.98,0.223235479,-0.002274022,-1
6196.07,0.282562813,-0.002018168,-1
6208.6,0.285435979,0.002987023,1
6190.11,0.286606345,-0.005992841,-1
6227.43,0.281495301,-0.017899583,-1
6340.93,0.324569372,-0.001104295,-1
6347.94,0.27479715,-0.001753396,-1
6359.09,0.271888683,0.002380206,1
6343.99,0.276091059,-0.000373442,-1
6346.36,0.240045485,-0.005374061,-1
6380.65,0.260591597,-0.002144077,-1
6394.36,0.276738285,0.002096857,1
6380.98,0.327866554,0,0
